dua_id,duaId,duaArabic,dua_ur,dua_en,duaReference_ur,duaReference_en,duaType_ur,duaType_en,duaTitle_ur,duaTitle_en,Dua_IRI
126,QuranicDua-52,رَبِّ إِنِّي ظَلَمْتُ نَفْسِي فَاغْفِرْلِي,اے میرے رب!یقینا میں نے اپنے آپ پر ظلم کیا، سو مجھے بخش دے,"My Rabb, I have wronged myself so forgive me.",(القصص:16),(القصص:16),قرآنى دعاء‎,Qurani Dua,گناہوں کی بخشش کی دعا,Seeking Forgiveness,
127,QuranicDua-53,رَبَّنَا آمَنَّا فَاغْفِرْ لَنَا وَارْحَمْنَا وَأَنْتَ خَيْرُ الرَّاحِمِينَ,اے ہمارے رب! ہم ایمان لے آئے، سو تو ہمیں بخش دے اور ہم پر رحم کر اور تو سب رحم کرنے والوں سے بہتر ہے,"Our Rabb, we have believed, so forgive us and have mercy upon us, and You are the best of the merciful.",(المؤمنون:109),(المؤمنون:109),قرآنى دعاء‎,Qurani Dua,گناہوں کی بخشش کی دعا,Seeking Forgiveness,
128,MasnoonDua-73,اَللّٰهُمَّ اغْفِرْ لِي ذَنْبِي وَخَطَئِي وَعَمْدِي,اے اللہ میرے گناہوں، لغزشوں اور جان بوجھ کر کیے جانے والے گناہوں کو معاف فرما,"O Allah, forgive my sins, my mistakes and what I have committed intentionally.",[مسند احمد: 16269],[مسند احمد: 16269],مسنون دعاء,Masnoon Dua,استغفار,Seeking Forgiveness,
129,MasnoonDua-74,اَللّٰهُمَّ اغْفِرْ لِي وَارْحَمْنِي وَتُبْ عَلَيَّ إِنَّكَ أَنْتَ التَّوَّابُ الرَّحِيمُ, اے اللہ مجھے معاف فرما، مجھ پر رحم فرما مجھ پر توجہ فرما، بے شک تو نہایت توبہ قبول کرنے والا نہایت مہربان ہے,"Allah, forgive me and have mercy on me and turn towards me (to accept my repentance). Verily You are the Accepting of repentance, the always All Merciful.",[مسند احمد:5354],[مسند احمد:5354],مسنون دعاء,Masnoon Dua,گناہوں کی بخشش اور توبہ قبول ہونے کی دعا,Seeking Repentance,
130,MasnoonDua-75,اَللّٰهُمَّ أَنْتَ رَبِّي وَأَنَا عَبْدُكَ ظَلَمْتُ نَفْسِي وَاعْتَرَفْتُ بِذَنْبِي يَا رَبِّ فَاغْفِرْ لِي ذَنْبِي إِنَّكَ أَنْتَ رَبِّي إِنَّهُ لَا يَغْفِرُ الذَّنْبَ إِلَّا أَنْتَ,اے اللہ تو میرا رب اور میں تیرا بندہ ہوں میں نے اپنی جان پر ظلم کیا مجھے اپنے گناہوں کا اعتراف ہے اے میرے رب!میرے گناہوں کو معاف فرما،بے شک  توہی میرا رب ہے ،یقینا تیرے علاوہ کوئی بھی گناہوں کو معاف نہیں کرسکتا,"Allah, You are my Rabb and I am your servant, I have wronged my soul and I confess my sin. O my Rabb, forgive my sin. Indeed You are my Rabb, indeed no one forgives sins except You.",[مسند احمد:10681],[مسند احمد:10681],مسنون دعاء,Masnoon Dua,گناہوں کا اعتراف اور توبہ,Confessing Sins and Repenting,
131,MasnoonDua-76,اَللّٰهُمَّ اغْفِرْ لَنَا وَارْحَمْنَا وآتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,اے اللہ !ہماری مغفرت فرمااورہم پر رحم کراورہمیں دنیا میں بھلائی  دےاور آخرت میں بھی بھلائی دے اور ہمیں آگ کے عذاب سے بچا لے,"O Allah, forgive us, have mercy on us. Grant us good in this world and good in the hereafter and protect us from the punishment of the fire.",[صحيح الادب المفرد:633/494],[صحيح الادب المفرد:633/494],مسنون دعاء,Masnoon Dua,استغفار اور دنیا اور آخرت کی بھلائی طلب کرنا,Seeking the Best in Dunya and the Hereafter,
132,MasnoonDua-77,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ,اے اللہ ! میں تجھ  سے دنیا وآخرت میں عافیت مانگتا ہوں,"O Allah, Verily I ask You for wellness in this world and in the hereafter.",[مسند احمد:4785],[مسند احمد:4785],مسنون دعاء,Masnoon Dua,عافیت کا سوال کرنا,Asking for Well-Being,
133,MasnoonDua-78,اَللّٰهُمَّ ! إِنِّي أَسْأَلُكَ عَمَلًا بِالْحَسَنَاتِ ، وَتَرْكًا لِلْمُنْكَرَاتِ ، وَإِذَا أَرَدْتَ فِي قَوْمٍ فِتْنَةً وَأَنَا فِيْهِمْ ؛ فَاقْبِضْنِي إِلَيْكَ غَيْرَ مَفْتُونٍ,اے الله ! بے شک میں تجھ سے نیکیاں کرنے اور برائیوں کو ترک کر دینے کاسوال کرتا ہو ں اور جب تو لوگوں کو فتنے میں مبتلا کرنا چاہے اور میں وہاں موجود ہو ں تومجھے فتنے سے بچا کر اپنے پاس بلا لینا  ,"O Allah, I ask you for the ability to perform righteous deeds and to quit evil deeds and if you should put a people to trial and I am among them, then save me from the trial and raise me to you.",[السلسلة الصحيحة:3169],[السلسلة الصحيحة:3169],مسنون دعاء,Masnoon Dua,نیکی کی توفیق اور فتنوں سے بچنے کی دعا,Seeking Refuge from Trials,
134,MasnoonDua-79,اَللّٰهُمَّ ارْزُقْنِي شَهَادَةً فِي سَبِيلِكَ وَاجْعَلْ مَوْتِي فِي بَلَدِ رَسُولِكَ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ,اے اللہ! مجھے اپنے راستے میں شہادت عطا کر اور میری موت اپنے رسول ﷺ کے شہر میں مقدر کر دے,"O Allah, grant me martyrdom in your way and let me die in the city of Your Messenger ﷺ.",[صحیح البخاری:1890],[صحیح البخاری:1890],مسنون دعاء,Masnoon Dua,اللہ کے راستے میں شہادت کی دعا,Dua for Martyrdom,<http://www.i-knex.com/ontology/hadith#SB-HD1890>
135,MasnoonDua-80,اَللّٰهُمَّ اغْفِرْ لِى وَارْحَمْنِى وَأَلْحِقْنِى بِالرَّفِيقِ,اے اللہ میری مغفرت فرما اور مجھ پر رحم فرما اور مجھے رفیق( اعلی) سے ملا دے,"O Allah, forgive me, have mercy on me and join me with the (highest) Companion.",[صحيح مسلم:6446],[صحيح مسلم:6446],مسنون دعاء,Masnoon Dua,رفیق اعلی سے ملنے کی دعا کرنا,Dua for Meeting the Highest Companion,
136,MasnoonDua-81,(اَللّٰهُمَّ) أَلْحِقْنِي بِالرَّفِيقِ الْأَعْلَى,(اے اللہ) مجھے رفیق اعلیٰ سے ملا دے، مجھے رفیق اعلیٰ سے ملا دے,"(O Allah,) Join me with the (highest) Companion.",[مسند احمد:24774],[مسند احمد:24774],مسنون دعاء,Masnoon Dua,رفیق اعلی سے ملنے کی دعا کرنا,Dua for Meeting the Highest Companion,
137,MasnoonDua-82,أَعُوذُ بِوَجْهِ اللَّهِ الْعَظِيمِ الَّذِي لَيْسَ شَيْءٌ أَعْظَمَ مِنْهُ وَبِكَلِمَاتِ اللَّهِ التَّامَّاتِ الَّتِي لَا يُجَاوِزُهُنَّ بَرٌّ وَلَا فَاجِرٌ وَبِأَسْمَاءِ اللَّهِ الْحُسْنَى كُلِّهَا مَا عَلِمْتُ مِنْهَا وَمَا لَمْ أَعْلَمْ مِنْ شَرِّ مَا خَلَقَ وَبَرَأَ وَذَرَأَ,میں اللہ کے  عظیم چہرے کی پناہ مانگتا ہوں جس سے عظیم کوئی اور چیز نہیں ہے اور اس کے مکمل کلمات  کے ساتھ پناہ  چاہتا ہوں  جن سے کوئی نیک یا بد آگے نہیں بڑھ سکتا اور اللہ کے تمام اسمائے حسنی  کے ساتھ پناہ چاہتا ہوں جن کو میں جانتا ہوں اور جن کو میں نہیں جانتا اس چیز کے شر سے جس کو اللہ  نے بنایا ،پیدا کیا اور پھیلایا,"I seek refuge with the immense Face of Allah - there is nothing greater than it - and with the complete words of Allah which neither the good person nor the corrupt can exceed and with all the most beautiful names of Allah, what I know of them and what I do not know, from the evil of what He has created and originated and multiplied.",[موطأ مالك:1707،مشكاة المصابيح:2479],[موطأ مالك:1707،مشكاة المصابيح:2479],مسنون دعاء,Masnoon Dua,اللہ تعالیٰ کے چہرے کے وسیلے سے دعا کرنا,Supplicating Through the Means of Allah's Face,
138,MasnoonDua-83,(اَللّٰهُمَّ) أَسْأَلُكَ لَذَّةَ النَّظَرِ إِلَى وَجْهِكَ وَالشَّوْقَ إِلَى لِقَائِكَ,(اے اللہ)  تیرے چہرےکو دیکھنے کی لذت کاسوال کرتا ہو ں اورتجھ سے ملاقات کا شوق مانگتاہوں,I ask You for the sweetness of looking upon Your face and a longing to meet You.,[النسائی:1305],[النسائی:1305],مسنون دعاء,Masnoon Dua,اللہ تعالیٰ کے چہرے کو دیکھنے کی دعا,Seeking the Pleasure of Looking at Allah's Face,
139,MasnoonDua-84,أَذْهِبِ الْبَأْسَ رَبَّ النَّاسِ أَنْتَ الطَّبِيبُ وَأَنْتَ الشَّافِي,اے لوگوں کے رب آپ ہی طبیب ہیں اور شفا دینے والے ہیں اس تکلیف کو دور کر دیں,"Remove this harm, O Lord of Mankind! You are Al-Tabeeb and The Healer",[مسند احمد:24774],[مسند احمد:24774],مسنون دعاء,Masnoon Dua,عائشہؓ کی دعاء,Dua of Ayesha (RA),
140,MasnoonDua-85,اَللّٰهُمَّ اهْدِنِيِ لِأََحْسَنِ الأَخْلاَقِ لاَ يَهْدِي لِأََحْسَنِهَا إِلاَّ أَنْتَ وَاصْرِفْ عَنِّي سَيِّئَهَا لاَ يَصْرِفُ عَنِّي سَيِّئَهَا إِلاَّ أَنْتَ,اے اللہ میری سب سے اچھے اخلاق کی طرف رہنمائی فرما  تیرے سوا اچھے اخلاق کی راہ کوئی نہیں دکھا سکتا اور برے اخلاق کو مجھ سے دور کر دے انہیں تیرے سوا مجھ سے کوئی اور دور نہیں کر سکتا,"Guide me to the best of characters for none can guide to it other than You, and deliver me from the worst of characters for none can deliver me from it other than You.",[صحیح مسلم:771],[صحیح مسلم:771],مسنون دعاء,Masnoon Dua,اچھے اخلاق کی دعا,Dua for Good Character,
141,MasnoonDua-86,اَللّٰهُمَّ يَسِّرْ لِي جَلِيسًا صَالِحًا,اے الله! مجھے نیک ساتھـی عطا فرما,"O Allah, grant me righteous companion.",[صحیح البخاری:3742],[صحیح البخاری:3742],مسنون دعاء,Masnoon Dua,نیک ساتھی کی دعا,Dua for a Righteous Companion,<http://www.i-knex.com/ontology/hadith#SB-HD3742>
142,MasnoonDua-87,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْجَنَّةَ وَأَعُوذُ بِكَ مِنَ النَّارِ,اے الله ميں تجھ سے جنت كا سوال کرتا ہوں اور جہنم سے پناە مانگتا ہوں,"O Allah, I ask you for Paradise and seek refuge in you from the Fire.",( سنن أبی داؤد : 792 ),( سنن أبی داؤد : 792 ),مسنون دعاء,Masnoon Dua,جنت کا سوال اور جہنم سے بچاؤ کی دعا,Asking for Jannah and Seeking Refuge from Hell,
143,MasnoonDua-88,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْهُدَى وَالسَّدَادَ,اے الله ميں تجھ سے ہدایت اور سیدھے راستے كا سوال کرتا ہوں,"O Allah, I ask You for guidance and proper aim",[صحیح مسلم:2725],[صحیح مسلم:2725],مسنون دعاء,Masnoon Dua,ہدایت اور سیدھے راستے کا سوال کرنا,Asking for Guidance,
149,MasnoonDua-94,‏ اَللّٰهُمَّ أَكْثِرْ مَالِي وَوَلَدَي وَبَارِكْ لِي فِيمَا أَعْطَيْتَني ‏,اے اللہ کریم! مجھے بہت مال اور اولاد عطا فرما اور جو مجھے (عطا کر چکا ہے یا مزید) عطا فرمائے، اس میں برکت دے,"O Allah, make an increase in my wealth, and progeny, and confer blessings upon me in everything Thou hast bestowed upon me.",[صحیح مسلم:2480],"Sahih Muslim 2480 a In-book reference  : Book 44, Hadith 202",مسنون دعاء,Masnoon Dua,مال و اولاد کی کثرت کا سوال کرنا,Dua for Increase in Wealth and Children,
150,MasnoonDua-95,لَا إلَهَ إِلَّا اللَّهُ الْعَظـيمُ الْحَلِـيمْ، لَا إِلَهَ إِلَّا اللَّهُ رَبُّ العَـرْشِ العَظِيـمِ، لَا إِلَـهَ إِلَّا اللَّهُ رَبُّ السَّمَـوَاتِ وَرَبُّ الأَرْضِ ورَبُّ العَرْشِ الْكَـرِيْمِ,اللہ کے سوا کوئی معبود نہیں،(وہ) بہت عظمت والا، بڑا بردبار ہے اللہ کے سوا کوئی معبود نہیں (جو) عرش عظیم کا رب ہے اللہ کے سوا کوئی معبود نہیں (جو) آسمانوں اور زمین کا رب ہے اور عرش کریم کا رب ہے,"There is none worthy of worship but Allah, the Mighty, the Forbearing. There is none worthy of worship but Allah, Lord of the Magnificent Throne. There is none worthy of worship but Allah, Lord of the heavens and Lord of the earth, and Lord of the Noble Throne.",[حصن المسلم: 122],[حصن المسلم: 122],مسنون دعاء,Masnoon Dua,بے قراری اور اضطراب کے وقت کی دعا,Dua in the Moments of Anxiety and Restlessness,
151,MasnoonDua-96,اَللّٰهُمَّ  إِنِّي أسْأَلُكَ مِنْ فَضْلِكَ وَ رَحمَتِكَ  فَإِنَّهُ لَا يَمْلِكُها إِلَّا أَنتَ,اے اللہ! میں تجھ سے تیرے فضل اور تیری رحمت کا سوال کرتا ہوں پس بے شک تیرے سوا ان کا اختیار کسی کے پاس نہیں,"O Allah, I ask you for Your bounty, your Mercy for indeed no one possesses it except you.",أخرجه الطبراني (10/220) (10379)، وأبو نعيم في ((حلية الأولياء)) (5/36),أخرجه الطبراني (10/220) (10379)، وأبو نعيم في ((حلية الأولياء)) (5/36),مسنون دعاء,Masnoon Dua,اللہ کا فضل اور رحمت مانگنا,Asking Allah for His Bounty and Mercy,
152,MasnoonDua-97,اَللّٰهُمَّ إنِّي أَسْأَلُكَ مُوجِبَاتِ رَحْمَتِكَ، وَعَزَائِمَ مَغْفِرَتِكَ، وَالسَّلامَةَ مِنْ كُلِّ إثْمٍ، وَالغَنِيمَةَ مِنْ كُلِّ بِرٍّ، وَالْفَوزَ بِالْجَنَّةِ، وَالنَّجاةَ مِنَ النَّارِ,اے اللہ! میں تجھ سے ان چیزوں کا سوال کرتا ہوں جو تیری رحمت کا سبب ہوں، اور تیری مغفرت کو لازم کریں، اور میں تجھ سے ہر گناہ سے بچنے کا اور ہر نیکی کے پانے کا سوال کرتا ہوں، اور جنت پانے کی کامیاب اور جہنم کی آگ سے نجات کا سسوال کرتا ہوں,"O Allah, I ask you for that which obligates Your mercy and resolutions for Your forgiveness, and saves from every sin, and is a means to attain every righteousness, and the success to attain Paradise and salvation from the Fire.",أخرجه الحاكم (1957)، والبيهقي في ((الدعوات الكبير)) (338),أخرجه الحاكم (1957)، والبيهقي في ((الدعوات الكبير)) (338),مسنون دعاء,Masnoon Dua,ان اسباب کا طلب کرنا جو اللہ کی رحمت کو کھینچ لائیں,Seeking Allah's Mercy,
153,MasnoonDua-98,اَللّٰهُمَّ لَكَ أَسْلَمْتُ وَبِكَ آمَنْتُ وَعَلَيْكَ تَوَكَّلْتُ وَإِلَيْكَ أَنَبْتُ وَبِكَ خَاصَمْتُ اَللّٰهُمَّ إِنِّي أَعُوذُ بِعِزَّتِكَ لاَ إِلَهَ إِلاَّ أَنْتَ أَنْ تُضِلَّنِي أَنْتَ الْحَىُّ الَّذِي لاَ يَمُوتُ وَالْجِنُّ وَالإِنْسُ يَمُوتُونَ ‏,اے پروردگار! میں تیرا فرمانبردار ہو گیا اور تجھ پر ایمان لایا اور تجھ پر بھروسا کیا اور تیری طرف رجوع کیا اور تیری مدد سے دشمنوں سے لڑا اے مالک میرے! میں تیری عزت کی پناہ مانگتا ہوں کوئی برحق معبود نہیں سوائے تیرے، اس بات سے کہ تو بھٹکا دے مجھ کو، تو وہ زندہ ہے جو کبھی نہیں مرتا، جن اور آدمی مرتے ہیں,"O Allah, it is unto Thee that I surrender myself. I affirm my faith in Thee and repose my trust in Thee and turn to Thee in repentance and with Thy help fought my adversaries. O Allah, I seek refuge in Thee with Thine Power; there is no god but Thou, lest Thou leadest me astray. Thou art ever-living that dieth not, while the Jinn and mankind die.",[صحیح مسلم:2717],[صحیح مسلم:2717],مسنون دعاء,Masnoon Dua,گمراہی سے بچنے کی دعا,Seeking Refuge from Going Astray,
154,MasnoonDua-99,اَللّٰهُمَّ احْفَظْنِي بِالإسْلَامِ قَائِمًا ، وَ احْفَظْنِي بِالإسْلَامِ قَاعِدًا ، وَ احْفَظْنِي بِالْإسْلامِ رَاقِدًا ، وَ لَا تُشْمِتْ بِي عَدُوًّا حَاسِدًا ، اَللّٰهُمَّ إنِّي أسْأَلُكَ مِنْ كُلِّ خَيْرٍ خَزَائِنُهُ بِيَدِكَ ، وَ أَعُوذُ بِكَ مِنْ كُلِّ شَرٍّ خَزَائِنُهُ بِيَدِكَ,اے اللہ! میری حفاظت فرما اسلام کے ساتھ کھڑے ہونے کی حالت میں اور بیٹھے ہونے کی حالت میں (یعنی میں کھڑے، بیٹھے اور سوتے ہر حال میں ایمان و اسلام کے ساتھ محفوظ رہوں) اور میرے دشمنوں اور حاسدوں کو تیرے کسی فیصلہ سے شماتت کا موقع نہ ملے اے اللہ! تیرے ہاتھ میں خیر کے جو خزانے ہیں میں تجھ سے ان کو مانگتا ہوں اور تیرے قبضہ میں جو شر ہے اس سے میں تیری پناہ چاہتا ہوں,"O Allah, protect me with Islam while standing, protect me with Islam while sitting, protect me with Islam while lying down. Let not my enemies gloat over me in envy. O Allah, I ask you for every good that is stored in your hand, and I seek refuge in you from every evil that is stored in your hand.",السلسلة الصحيحة الصفحة أو الرقم: 1540 | خلاصة حكم المحدث : حسن لشواهده,السلسلة الصحيحة الصفحة أو الرقم: 1540 | خلاصة حكم المحدث : حسن لشواهده,مسنون دعاء,Masnoon Dua,خیر کے خزانوں کا سوال کرنا,Asking for the Treasure of Goodness,
155,MasnoonDua-100,اَللّٰهُمَّ إِنَّا نَسْأَلُكَ مِنْ خَيْرِ مَا سَأَلَكَ مِنْهُ نَبِيُّكَ مُحَمَّدٌ وَنَعُوذُ بِكَ مِنْ شَرِّ مَا اسْتَعَاذَ بِكَ مِنْهُ نَبِيُّكَ مُحَمَّدٌ وَأَنْتَ الْمُسْتَعَانُ وَعَلَيْكَ الْبَلاَغُ وَلاَ حَوْلَ وَلاَ قُوَّةَ إِلاَّ بِاللَّهِ,اے اللہ ہم تجھ سے ہر اس خیر کا سوال کرتے ہیں جس کا رسول صلی اللہ علیہ و سلم نے سوال کیا اور ہر اس چیز سے پناہ مانگتے ہیں جس سے تیرے نبی محمد صلی اللہ علیہ و سلم نے پناہ مانگی، تو ہی مدد گار ہے، تو ہی خیر و شر پہنچانے والا ہے، اور گناہوں سے بچنے کی طاقت اور نیکی کرنے کی ہمت بھی صرف اللہ ہی کی طرف سے ہے,"O Allah, we ask You from the good of what Your Prophet Muhammad (ﷺ) asked You for, and we seek refuge in You from the evil of that which Your Prophet Muhammad (ﷺ) sought refuge in You from, and You are the one from Whom aid is sought, and it is for You to fulfill, and there is no might or power except by Allah",[جامع الترمذی: 3521],[جامع الترمذی: 3521],مسنون دعاء,Masnoon Dua,نبی صلی اللہ علیہ وسلم کی طلب کردہ خیر کا سوال,Asking for Goodness,
156,MasnoonDua-101,اَللّٰهُمَّ رَبَّ جِبْرَائِيلَ وَمِيكَائِيلَ وَرَبَّ إِسْرَافِيلَ أَعُوذُ بِكَ مِنْ حَرِّ النَّارِ وَمِنْ عَذَابِ الْقَبْرِ ‏,یا اللہ! جبرائیل اور میکائیل کے رب، اور اسرافیل کے رب، میں جہنم کی آگ کی تپش سے اور قبر کے عذاب سے تیری پناہ چاہتا ہوں,"O Allah, Lord of Jibra'il and Mika'il and Lord of Israfil, I seek refuge in You from the heat of the Fire and (from) the torment of the grave",[سنن النسائی:5519],[سنن النسائی:5519],مسنون دعاء,Masnoon Dua,آگ کی تپش اور قبر کے عذاب سے پناہ مانگنا,Seeking Refuge from Hell Fire and Punishment of Grave,
157,MasnoonDua-102,اَللّٰهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْبُخْلِ وَالْجُبْنِ وَأَعُوذُ بِكَ مِنْ سُوءِ الْعُمُرِ وَأَعُوذُ بِكَ مِنْ فِتْنَةِ الصَّدْرِ وَأَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ,اے اللہ! میں کنجوسی اور بزدلی سے تیری پناہ چاہتا ہوں اور بری عمر اور دل کے فتنے سے تیری پناہ چاہتا ہوں اور قبر کے عذاب سے تیری پناہ چاہتا ہوں“,"O Allah, I seek refuge with You from miserliness and cowardice, and I seek refuge with You from reaching the age of second childhood, and I seek refuge in You from the ills of the heart, and I seek refuge in You from the torment of the grave.",[سنن النسائی:5497],[سنن النسائی:5497],مسنون دعاء,Masnoon Dua,بخل، بزدلی اور تکلیف دہ بڑھاپے سے پناہ مانگنا,Seeking Refuge from Stinginess and Cowardice,
158,MasnoonDua-103,اَللّٰهُمَّ طَهِّرْنِي مِنَ الذُّنُوبِ وَالْخَطَايَا اَللّٰهُمَّ نَقِّنِي مِنْهَا كَمَا يُنَقَّى الثَّوْبُ الأَبْيَضُ مِنَ الدَّنَسِ اَللّٰهُمَّ طَهِّرْنِي بِالثَّلْجِ وَالْبَرَدِ وَالْمَاءِ الْبَارِدِ ‏‏,اے اللہ ، مجھے گناہ اور خطا سے پاک فرما ، اے اللہ مجھے اس سے پاک کردے جیسے ایک سفید لباس گندگی سے پاک ہو ، اے اللہ مجھے برف اور اولے اور ٹھنڈے پانی سے پاک کردے,"O Allah, purify me of sin and error, O Allah cleanse me of it as a white garment is cleansed of dirt, O Allah purify me with snow and hail and cold water",[سنن النسائی:402],[سنن النسائی:402],مسنون دعاء,Masnoon Dua,گناہوں کے دھل جانے کی دعا کرنا,Dua for Washing Away of Sins,
159,MasnoonDua-104,رَبِّ اغْفِرْ لِي وَتُبْ عَلَىَّ إِنَّكَ أَنْتَ التَّوَّابُ الْغَفُورُ ‏,اے میرے رب! میرے گناہوں کو بخش دے اور میری توبہ قبول فرما، بے شک تو بہت توبہ قبول فرمانے والا اور بہت بخشنے والا ہے,"O my Lord, forgive me, and accept my repentance. Verily, You are the Oft-Returning, the Most Forgiving",[جامع الترمذی: 3434],[جامع الترمذی: 3434],مسنون دعاء,Masnoon Dua,بخشش طلب کرنا,Asking Forgiveness,
160,MasnoonDua-105,‏ اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الجَنَّةَ  وَأَسْتَجِيرُ بِكَ مِنَ  النَّارِ,یا اللہ! میں تجھ سے جنت کا سوال کرتا ہوں اور جہنم کی آگ سے تیری پناہ چاہتا ہوں,"O Allah, I ask you for Paradise and seek refuge in You from the Fire.",الترمذي (2572)، والنسائي (5521),(ثلاث مرات) ( أخرجه الترمذي (2572)، والنسائي (5521)،  لفظه  مَن سألَ اللَّهَ الجنَّةَ ثلاثَ مرَّاتٍ قالتِ الجنَّةُ : اللَّهمَّ أدخلهُ الجنَّةَ ومنِ استَجارَ منَ النَّارِ ثلاثَ مرَّاتٍ قالتِ النَّارُ:أَجِرْهُ منَ النَّارِ),مسنون دعاء,Masnoon Dua,جنت کا سوال اور جہنم سے بچاؤ کی دعا,Asking for Paradise and Refuge from Hell,
161,MasnoonDua-106,اللّهُـمَّ إِنِّـي أَسْأَلُـكَ بِأَنَّ لَكَ الْحَـمْدُ لا إِلـهَ إِلاّ أَنْـتَ وَحْـدَكَ لا شَـريكَ لَـكَ المَنّـانُ يا بَديـعَ السَّمواتِ وَالأَرْضِ يا ذا الجَلالِ وَالإِكْـرامِ يا حَـيُّ يا قَـيّومُ إِنِّـي أَسْأَلُـكَ الجَـنَّةَ وَأَعـوذُ بِـكَ مِنَ الـنّارِ,اے اللہ! یقیناً میں تجھ سے اس لیے سوال کر رہا ہوں کہ ہر قسم کی تعریف تیرے ہی لیے ہے تجھ اکیلے کے سوا کوئی معبود نہیں، تیرا کوئی حصے دار نہیں، (تو) بے حد احسان کرنے والا ہے اے آسمانوں اور زمین کو بے مثل پیدا کرنے والے، اے صاحب جلال اور عزت والے! اے زندہٗ جاوید! اے قائم و دائم! اے اللہ! بے شک میں تجھ سے جنت کا سوال کرتا ہوں اور آگ سے تیری پناہ میں آتا ہوں,"O Allah, I ask You, as You are the Owner of praise, there is none worthy of worship but You alone, You have no partner. You are the Giver of all good. O Creator of the heavens and the earth, Owner of majesty and honor. O Living and Everlasting One, I ask you for Paradise, and I seek refuge in You from the fire.",ابو داود، النسائی، ابن ماجہ (2/329),"Abu Dawud, An-Nasa'i, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih Ibn Majah 2/329.",مسنون دعاء,Masnoon Dua,اسم اعظم کے ذریعے سے سوال کرنا,Asking Through Allahs Great Name,
162,MasnoonDua-107,اَللّٰهُمَّ  إِنِّـي أَسْأَلُـكَ يا اللهُ بِأَنَّـكَ الواحِـدُ الأَحَـد الصَّـمَدُ الَّـذي لَـمْ يَلِـدْ وَلَمْ يُولَدْ، وَلَمْ يَكـنْ لَهُ كُـفُواً أَحَـدْ ، أَنْ تَغْـفِرْ لي ذُنـُوبِي إِنَّـكَ أَنْـتَ الغَفُـورُ الرَّحِّـيم,اے اللہ! میں تجھ سے سوال کرتا ہوں، اے اللہ! اس لیے کہ تو واحد ہے، یکتا ہے، ایسا بے نیاز ہے کہ جس کی کوئی اولاد نہیں ہے اور نہ وہ کسی کی اولاد ہے اور نہ اس کا کوئی ہم پلہ ہے (میں سوال کرتا ہوں) کہ تو میرے گناہ بخش دے، یقیناً تو بہت زیادہ بخشنے والا بڑا مہربان ہے,"O Allah, I ask You. O Allah, You are the One, the Only, Self-Sufficient Master, Who was not begotten and begets not, and none is equal to Him. Forgive me my sins, surely you are Forgiving, Merciful.",النسائی: (3/52)، احمد (4/338),"An-Nasa'i 3/52, Ahmad 4/338. See also Al-Albani, Sahih An-Nasa'i 1/280 and Sifat Salatun-Nabi, pg. 204.",مسنون دعاء,Masnoon Dua,اسم اعظم کے ذریعے سے سوال کرنا,Asking Through Allahs Great Name,
163,MasnoonDua-108,‏ اَللّٰهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ قَلْبٍ لاَ يَخْشَعُ وَدُعَاءٍ لاَ يُسْمَعُ وَمِنْ نَفْسٍ لاَ تَشْبَعُ وَمِنْ عِلْمٍ لاَ يَنْفَعُ أَعُوذُ بِكَ مِنْ هَؤُلاَءِ الأَرْبَعِ ‏,اے اللہ! میں تیری پناہ مانگتا ہوں ایسے دل سے جو نہ ڈرتا ہو (یعنی جس میں خوف الٰہی نہ ہو) اور ایسی دعا سے بھی تیری پناہ مانگتا ہوں جو سنی نہ جائے، اور اس نفس سے بھی تیری پناہ مانگتا ہوں جو سیر نہ ہو، اور ایسے علم سے بھی تیری پناہ چاہتا ہوں جو فائدہ نہ پہنچائے، اے اللہ! میں ان چاروں چیزوں سے تیری پناہ چاہتا ہوں,"O Allah, I seek refuge in You from a heart that does not humble itself, and from a supplication that is not heard, and from a soul that is never satisfied, and from knowledge that does not benefit, I seek refuge in You from these four",[جامع الترمذی: 3482],[جامع الترمذی: 3482],مسنون دعاء,Masnoon Dua,نہ ڈرنے والے دل اور نہ سنی جانے والی دعا سے پناہ طلب کرنا,Seeking Refuge from a heart that has no fear of Allah,
